net_op_name,tech,mcc,mnc,psc_pci,rssi,rsrq,lat,long
orange,LTE,226,10,82,-80.0,-10,45.7624,21.2606
orange,LTE,226,10,82,-80.0,-10,45.7625,21.2607
orange,LTE,226,10,82,-77.0,-10,45.7627,21.2607
orange,LTE,226,10,82,-77.0,-10,45.7628,21.2608
orange,LTE,226,10,82,-73.0,-10,45.763,21.2608
orange,LTE,226,10,82,-73.0,-10,45.7631,21.2608
orange,LTE,226,10,82,-73.0,-10,45.7632,21.2608
orange,LTE,226,10,82,-73.0,-10,45.7634,21.2608
orange,LTE,226,10,82,-73.0,-10,45.7635,21.2608
orange,LTE,226,10,82,-73.0,-10,45.7636,21.2608
orange,LTE,226,10,82,-73.0,-10,45.7637,21.2608
orange,LTE,226,10,82,-66.5,-10,45.7639,21.2608
orange,LTE,226,10,81,-64.0,-8,45.764,21.2608
orange,LTE,226,10,81,-63.47,-8,45.7641,21.2608
orange,LTE,226,10,81,-65.6,-8,45.7642,21.2607
orange,LTE,226,10,81,-69.47,-9,45.7643,21.2607
orange,LTE,226,10,81,-69.0,-12,45.7644,21.2607
orange,LTE,226,10,81,-53.0,-8,45.7645,21.2607
orange,LTE,226,10,81,-59.0,-8,45.7646,21.2607
orange,LTE,226,10,81,-61.47,-9,45.7647,21.2607
orange,LTE,226,10,81,-62.31,-10,45.7648,21.2607
orange,LTE,226,10,81,-64.22,-10,45.7649,21.2607
orange,LTE,226,10,81,-64.22,-15,45.765,21.2607
orange,LTE,226,10,83,-63.25,-11,45.7651,21.2607
orange,LTE,226,10,83,-65.0,-11,45.7652,21.2607
orange,LTE,226,10,83,-64.04,-10,45.7653,21.2607
orange,LTE,226,10,83,-63.35,-10,45.7654,21.2607
orange,LTE,226,10,83,-70.23,-11,45.7655,21.2608
orange,LTE,226,10,83,-71.0,-11,45.7656,21.261
orange,LTE,226,10,83,-71.0,-11,45.7657,21.2611
orange,LTE,226,10,83,-73.0,-11,45.7658,21.2612
orange,LTE,226,10,83,-74.0,-11,45.7659,21.2614
orange,LTE,226,10,83,-74.0,-11,45.766,21.2615
orange,LTE,226,10,83,-74.0,-11,45.7661,21.2617
orange,LTE,226,10,83,-74.0,-11,45.7662,21.2617
orange,LTE,226,10,83,-74.0,-11,45.7663,21.2619
orange,LTE,226,10,83,-74.0,-11,45.7664,21.262
orange,LTE,226,10,83,-82.0,-11,45.7665,21.2621
orange,LTE,226,10,83,-80.94,-11,45.7666,21.2623
orange,LTE,226,10,83,-80.0,-11,45.7667,21.2624
orange,LTE,226,10,83,-81.0,-11,45.7668,21.2626
orange,LTE,226,10,83,-83.0,-13,45.7669,21.2627
orange,LTE,226,10,83,-83.0,-13,45.767,21.2628
orange,LTE,226,10,83,-83.0,-13,45.7671,21.2629
orange,LTE,226,10,83,-81.0,-13,45.7672,21.2631
orange,LTE,226,10,83,-81.0,-13,45.7673,21.2631
orange,LTE,226,10,83,-78.0,-13,45.7674,21.2631
orange,LTE,226,10,83,-78.0,-13,45.7675,21.2631
orange,LTE,0,0,81,-89.0,-10,45.7677,21.263
orange,LTE,0,0,81,-89.0,-10,45.7678,21.263
orange,LTE,226,10,81,-88.0,-9,45.7679,21.263
orange,LTE,226,10,81,-88.0,-9,45.768,21.263
orange,LTE,226,10,81,-91.0,-11,45.7681,21.263
orange,LTE,226,10,81,-91.0,-11,45.7683,21.2631
orange,LTE,226,10,81,-91.0,-11,45.7684,21.2632
orange,LTE,226,10,81,-81.0,-11,45.7685,21.2633
orange,LTE,226,10,81,-81.0,-11,45.7687,21.2633
orange,LTE,226,10,81,-81.0,-11,45.7688,21.2634
orange,LTE,226,10,81,-79.0,-11,45.7689,21.2635
orange,LTE,226,10,81,-79.0,-11,45.7691,21.2636
orange,LTE,226,10,81,-80.0,-12,45.7692,21.2637
orange,LTE,226,10,81,-80.0,-12,45.7693,21.2638
orange,LTE,226,10,81,-80.0,-12,45.7695,21.2639
orange,LTE,226,10,81,-78.0,-11,45.7696,21.264
orange,LTE,226,10,81,-78.0,-11,45.7698,21.2641
orange,LTE,226,10,81,-79.0,-12,45.7699,21.2642
orange,LTE,226,10,81,-79.0,-12,45.7701,21.2643
orange,LTE,226,10,81,-79.0,-12,45.7702,21.2644
orange,LTE,226,10,81,-79.0,-12,45.7703,21.2645
orange,LTE,226,10,81,-79.0,-12,45.7705,21.2646
orange,LTE,226,10,81,-79.0,-12,45.7706,21.2647
orange,LTE,226,10,81,-79.0,-12,45.7707,21.2648
orange,LTE,226,10,81,-79.0,-12,45.7709,21.2649
orange,LTE,226,10,81,-79.0,-12,45.771,21.2649
orange,LTE,226,10,81,-81.0,-11,45.7711,21.265
orange,LTE,226,10,81,-81.0,-11,45.7712,21.2651
orange,LTE,226,10,81,-81.0,-11,45.7714,21.2652
orange,LTE,226,10,81,-80.0,-13,45.7715,21.2653
orange,LTE,226,10,81,-80.0,-13,45.7716,21.2654
orange,LTE,226,10,81,-80.0,-13,45.7718,21.2655
orange,LTE,226,10,81,-81.0,-11,45.7719,21.2655
orange,LTE,226,10,81,-81.0,-11,45.772,21.2656
orange,LTE,226,10,81,-81.0,-11,45.7721,21.2657
orange,LTE,226,10,81,-82.0,-12,45.7722,21.2657
orange,LTE,226,10,81,-81.47,-12,45.7723,21.2658
orange,LTE,226,10,81,-81.0,-11,45.7724,21.2658
orange,LTE,226,10,81,-84.0,-11,45.7725,21.2659
orange,LTE,226,10,81,-89.0,-12,45.7726,21.266
orange,LTE,226,10,81,-89.0,-12,45.7727,21.2661
orange,LTE,226,10,81,-89.0,-12,45.7728,21.2661
orange,LTE,226,10,81,-91.0,-13,45.7729,21.2662
orange,LTE,226,10,81,-93.0,-12,45.773,21.2663
orange,LTE,226,10,81,-93.0,-12,45.7731,21.2664
orange,LTE,226,10,81,-94.0,-11,45.7732,21.2665
orange,LTE,226,10,81,-94.0,-11,45.7733,21.2665
orange,LTE,226,10,81,-94.0,-11,45.7734,21.2666
orange,LTE,226,10,81,-91.0,-14,45.7735,21.2667
orange,LTE,226,10,81,-91.0,-14,45.7736,21.2667
orange,LTE,226,10,81,-91.0,-14,45.7737,21.2668
orange,LTE,226,10,135,-91.0,-11,45.7738,21.2669
orange,LTE,226,10,135,-91.0,-11,45.7739,21.2669
orange,LTE,226,10,135,-91.0,-11,45.774,21.267
